TPCNote  40460  40670  69   5
TPCNote  40670  41125  65   1
TPCNote  40915  41370  69   5
TPCNote  41125  41580  62   4
TPCNote  41370  41580  67   3
TPCNote  41580  41825  65   1
TPCNote  41580  42035  55   3
TPCNote  41825  42035  64   6
TPCNote  42035  42280  65   1
TPCNote  42035  42280  57   5
TPCNote  42280  42490  67   3
TPCNote  42490  42735  65   1
TPCNote  42735  42945  64   6
TPCNote  42945  43190  65   1
TPCNote  43190  43400  60   2
TPCNote  43400  43645  57   5
TPCNote  43575  43855  60   2
TPCNote  43645  43855  62   4
TPCNote  43855  44100  60   2
TPCNote  44100  44310  62   4
TPCNote  44100  44170  58   0
TPCNote  44170  44310  58   0
TPCNote  44310  44555  60   2
TPCNote  44310  45220  63  -1
TPCNote  44555  44765  57   5
TPCNote  44765  45360  57   5
TPCNote  45220  45465  62   4
TPCNote  45360  45955  58   0
TPCNote  45465  45675  64   6
TPCNote  45675  46585  65   1
TPCNote  45990  46585  53   1
TPCNote  46585  46830  64   6
TPCNote  46585  47180  50   4
TPCNote  46830  47040  65   1
TPCNote  47040  47740  67   3
TPCNote  47180  47775  55   3
TPCNote  47740  47950  65   1
TPCNote  47740  48370  53   1
TPCNote  47950  48405  67   3
TPCNote  48370  48965  51  -1
TPCNote  48370  48755  69   5
TPCNote  48755  48790  70   0
TPCNote  48755  48860  72   2
TPCNote  48860  49315  65   1
TPCNote  48965  49560  53   1
TPCNote  49315  49770  63  -1
TPCNote  49560  50155  50   4
TPCNote  49770  50225  62   4
TPCNote  50190  50785  46   0
TPCNote  50190  50680  63  -1
TPCNote  50680  51135  60   2
TPCNote  50785  51380  51  -1
TPCNote  51135  51590  62   4
TPCNote  51380  51975  51  -1
TPCNote  51590  52045  63  -1
TPCNote  51975  52570  50   4
TPCNote  52045  52500  62   4
TPCNote  52500  53165  60   2
TPCNote  52570  53165  50   4
TPCNote  53165  53410  84   2
TPCNote  53165  53760  48   2
TPCNote  53410  53620  82   0
TPCNote  53620  53865  81   5
TPCNote  53760  54355  48   2
TPCNote  53865  54075  82   0
TPCNote  54075  54320  77   1
